,date,course,rating,slope,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18
0,2015-06-14,hick,71.2,127,6,6,6,5,3,5,6,4,8,4,5,5,7,6,5,8,7,7,3,3,3,2,2,2,2,2,3,2,3,2,3,3,2,3,2,3
1,2015-06-28,hick,71.2,127,5,8,5,5,4,5,7,4,7,5,5,5,6,4,5,8,5,7,2,3,2,2,2,2,3,3,2,2,2,3,3,3,2,2,2,3
2,2015-07-05,hick,71.2,127,7,6,6,6,6,4,6,6,8,5,5,4,6,5,5,6,5,6,1,2,1,2,3,2,2,2,4,2,2,2,2,2,2,1,3,1
3,2015-07-12,hick,71.2,127,6,4,4,5,6,5,5,3,7,4,7,4,6,6,7,5,6,6,3,2,2,2,3,3,3,2,2,1,2,2,3,3,2,2,3,2
4,2015-07-19,stony,70.4,124,5,5,7,4,4,5,4,6,5,5,7,5,5,5,5,8,4,4,1,2,3,3,2,2,2,3,2,2,2,2,3,2,2,3,3,2
5,2015-07-26,stony,70.4,124,6,6,7,4,6,4,4,5,5,4,10,6,8,5,4,6,4,8,2,2,3,3,3,1,3,2,2,2,2,3,2,2,2,2,3,4
6,2015-08-02,stony,70.4,124,7,5,5,4,6,5,4,6,6,7,6,4,5,5,6,6,3,4,3,3,2,2,3,2,2,3,3,6,1,2,2,2,3,2,2,2
7,2015-08-22,stony,70.4,124,8,4,5,3,7,5,5,5,7,5,9,4,5,5,4,8,5,4,2,2,2,2,4,2,4,2,3,2,2,2,2,2,2,2,2,1
8,2015-08-30,stony,70.4,124,9,5,6,4,6,5,3,5,5,4,6,3,6,6,6,5,3,4,3,3,3,3,3,2,1,3,1,1,2,2,3,3,3,2,2,2
9,2015-09-06,stony,70.4,124,8,6,5,4,5,6,3,6,7,6,6,6,6,4,4,5,5,5,2,3,2,2,2,3,2,2,4,2,2,3,2,2,2,2,2,3
10,2015-09-13,stony,70.4,124,5,5,4,5,5,5,4,6,5,5,7,4,6,6,7,5,3,5,2,2,1,3,3,3,3,3,2,3,2,3,2,3,2,1,2,3
11,2015-10-09,stony,70.4,124,6,6,6,3,4,4,3,6,5,6,6,3,4,5,8,5,3,5,1,2,2,1,2,2,2,3,1,1,2,2,2,2,3,2,2,3
12,2015-10-16,stony,70.4,124,6,7,5,4,7,6,4,7,6,4,7,4,4,6,6,6,3,6,2,4,3,2,3,2,2,2,3,2,2,2,2,3,1,3,2,3
13,2015-10-23,stony,70.4,124,4,7,5,4,5,5,4,5,6,4,6,3,4,5,5,7,5,6,1,1,2,2,3,3,2,2,1,0,2,1,1,2,2,2,3,2
14,2015-10-25,stony,70.4,124,7,5,5,3,4,4,6,4,6,5,6,4,4,6,4,6,4,5,1,3,3,1,1,1,4,1,2,3,3,2,2,2,2,0,3,2
15,2015-10-30,stony,70.4,124,5,4,5,5,5,5,3,6,5,6,6,4,6,8,7,7,4,5,1,1,2,2,2,2,2,2,2,2,2,2,2,2,3,3,2,3
16,2015-11-06,stony,70.4,124,6,7,7,3,5,3,4,5,7,5,9,4,6,5,5,6,5,6,1,3,2,2,1,1,3,2,3,2,3,2,2,2,3,3,2,3
17,2015-11-08,stony,70.4,124,5,6,6,4,6,7,4,6,5,4,7,4,5,8,5,7,4,5,2,2,3,3,3,3,2,2,2,1,3,2,1,3,2,3,2,3
